Country,Year,Attack Type,Target Industry,Attack Source,Financial Loss (Millions),Number of Affected Users,Incident Resolution Time (Hours),Security Vulnerability Type,Defense Mechanism Used
États-Unis,2017,Spear Phishing,Finance,Cybercriminels,73.80,525,92.4,Absence de chiffrement,Chiffrement
Russie,2017,Spear Phishing,Technologie,Cybercriminels,119.87,63553,135.7,Accès non autorisé,IDS/IPS
Espagne,2017,Zero-Day,Santé,Inconnu,539.10,827637,451.7,Accès non autorisé,Chiffrement
États-Unis,2017,Ransomware,Défense,Inconnu,78.55,47440,686.9,Accès non autorisé,SIEM
Canada,2017,Phishing,Finance,Cybercriminels,31.09,10603,39.6,Logiciels non patchés,Sauvegarde et restauration
Israël,2017,Malware,Santé,Groupe de hackers,7.72,162253,67.3,Ingénierie sociale,Sauvegarde et restauration
États-Unis,2017,Malware,Technologie,Groupe de hackers,66.77,858913,158.8,API non sécurisée,Authentification multifacteur
France,2017,Malware,Technologie,Cybercriminels,83.54,1319,83.3,Ingénierie sociale,Chiffrement
Russie,2017,Man-in-the-Middle,Transport,Nation-État,22.74,1116,78.7,Mots de passe faibles,Segmentation réseau
États-Unis,2017,Malware,Télécommunications,Insider,20.11,1763037,47.6,Mauvaise configuration,Chiffrement
Allemagne,2017,Injection SQL,Santé,Insider,21.20,351223,85.0,Logiciels non patchés,Chiffrement
Chine,2017,DDoS,Technologie,Inconnu,25.33,60494,118.2,Mauvaise configuration,IDS/IPS
Inde,2017,Ransomware,Finance,Cybercriminels,119.31,76,307.9,Logiciels non patchés,Pare-feu
États-Unis,2017,Injection SQL,Gouvernement,Cybercriminels,25.93,4217,111.1,API non sécurisée,Chiffrement
Japon,2017,Malware,Transport,Nation-État,87.68,2130,21.9,Accès non autorisé,Analyse forensique
Chine,2017,Malware,Éducation,Insider,101.92,80127,122.9,Vulnérabilité zero-day,Pare-feu
Égypte,2017,DDoS,Commerce,Cybercriminels,33.47,1251,150.4,Mots de passe faibles,Pare-feu
Russie,2017,Malware,Technologie,Cybercriminels,37.18,4943142,130.8,Absence de chiffrement,SIEM
Chine,2017,Malware,Défense,Nation-État,24.77,71524,60.2,Ingénierie sociale,Chiffrement
Russie,2017,Ransomware,Gouvernement,Groupe de hackers,194.25,361,41.9,Mots de passe faibles,IDS/IPS
Royaume-Uni,2017,Malware,Technologie,Groupe de hackers,45.54,10940,21.2,Mots de passe faibles,Formation et sensibilisation
Turquie,2017,DDoS,Technologie,Inconnu,31.74,636961,152.9,Vulnérabilité zero-day,Segmentation réseau
États-Unis,2017,Malware,Transport,Nation-État,10.84,1595,135.3,Mots de passe faibles,Authentification multifacteur
Israël,2017,Zero-Day,Technologie,Hacktivistes,460.68,25142,59.1,Accès non autorisé,Pare-feu
Singapour,2017,DDoS,Gouvernement,Cybercriminels,24.47,656611,88.5,Absence de chiffrement,SIEM
Russie,2017,Ransomware,Télécommunications,Groupe de hackers,120.26,256502,453.8,Mots de passe faibles,SIEM
Russie,2017,Malware,Technologie,Cybercriminels,49.66,250621,40.7,Mots de passe faibles,Pare-feu
Israël,2017,DDoS,Finance,Groupe de hackers,37.34,12335,35.4,Accès non autorisé,Sauvegarde et restauration
Canada,2017,Ransomware,Technologie,Inconnu,17.30,1384,517.4,Mauvaise configuration,Authentification multifacteur
Inde,2017,Man-in-the-Middle,Gouvernement,Insider,20.41,13,118.4,Logiciels non patchés,IDS/IPS
Corée du Sud,2017,Malware,Défense,Groupe de hackers,43.31,186308,151.1,Mots de passe faibles,Authentification multifacteur
Pays-Bas,2017,Spear Phishing,Défense,Hacktivistes,32.59,4457,33.5,Absence de chiffrement,Chiffrement
États-Unis,2017,Malware,Santé,Nation-État,28.76,21269,25.9,Mots de passe faibles,EDR
Mexique,2017,DDoS,Commerce,Groupe de hackers,38.60,3281703,121.0,Logiciels non patchés,Analyse forensique
Iran,2017,Injection SQL,Télécommunications,Cybercriminels,16.06,1810,119.9,Mauvaise configuration,SIEM
Indonésie,2017,DDoS,Commerce,Hacktivistes,10.41,384711,59.5,API non sécurisée,Chiffrement
Russie,2018,Phishing,Télécommunications,Groupe de hackers,39.53,2856036,11.5,Vulnérabilité zero-day,Analyse forensique
Chine,2018,Man-in-the-Middle,Commerce,Inconnu,17.71,60870,140.1,Mauvaise configuration,Sauvegarde et restauration
Allemagne,2018,Phishing,Éducation,Insider,49.96,146624,41.2,Vulnérabilité zero-day,SIEM
Allemagne,2018,Malware,Télécommunications,Cybercriminels,16.00,149850,143.2,Logiciels non patchés,Chiffrement
Japon,2018,Zero-Day,Énergie,Groupe de hackers,498.01,500816,379.0,Mots de passe faibles,Segmentation réseau
Allemagne,2018,Phishing,Santé,Cybercriminels,18.55,125,107.9,Accès non autorisé,Formation et sensibilisation
Brésil,2018,Malware,Finance,Cybercriminels,78.70,1070,13.4,Absence de chiffrement,Pare-feu
États-Unis,2018,DDoS,Finance,Nation-État,3.50,2704,8.3,Accès non autorisé,Authentification multifacteur
Allemagne,2018,Spear Phishing,Énergie,Nation-État,10.20,226,75.0,Mots de passe faibles,IDS/IPS
Allemagne,2018,Zero-Day,Finance,Cybercriminels,301.07,160476,396.6,Accès non autorisé,Chiffrement
États-Unis,2018,Injection SQL,Finance,Groupe de hackers,54.63,2486,86.3,Ingénierie sociale,Analyse forensique
Royaume-Uni,2018,Phishing,Télécommunications,Nation-État,66.69,4221568,124.1,API non sécurisée,SIEM
Turquie,2018,Phishing,Défense,Insider,47.37,2731270,40.0,API non sécurisée,Pare-feu
Égypte,2018,Phishing,Énergie,Groupe de hackers,27.80,1923,33.0,Vulnérabilité zero-day,Segmentation réseau
Canada,2018,Ransomware,Santé,Cybercriminels,270.48,461489,207.3,Accès non autorisé,Sauvegarde et restauration
Royaume-Uni,2018,Zero-Day,Éducation,Groupe de hackers,287.74,15777,272.5,Accès non autorisé,Segmentation réseau
Israël,2018,DDoS,Gouvernement,Hacktivistes,33.30,1698502,167.6,Mauvaise configuration,Chiffrement
Canada,2018,Zero-Day,Finance,Cybercriminels,351.07,19675,272.4,Logiciels non patchés,EDR
Arabie Saoudite,2018,Spear Phishing,Finance,Nation-État,100.47,212,93.1,Absence de chiffrement,Sauvegarde et restauration
Mexique,2018,Malware,Santé,Groupe de hackers,112.44,248053,131.2,Mots de passe faibles,Formation et sensibilisation
Chine,2018,Ransomware,Éducation,Nation-État,92.52,19296,193.8,Accès non autorisé,Pare-feu
Australie,2018,Spear Phishing,Commerce,Groupe de hackers,110.39,2043,89.6,Vulnérabilité zero-day,SIEM
Colombie,2018,DDoS,Éducation,Insider,40.21,1237,51.2,Accès non autorisé,IDS/IPS
Russie,2018,DDoS,Technologie,Insider,16.51,103272,61.4,Accès non autorisé,Formation et sensibilisation
Royaume-Uni,2018,Ransomware,Santé,Groupe de hackers,174.92,115,513.1,Ingénierie sociale,Analyse forensique
France,2018,Phishing,Transport,Cybercriminels,22.02,33305,16.0,Mauvaise configuration,SIEM
Canada,2018,Spear Phishing,Technologie,Hacktivistes,25.57,192,34.1,Ingénierie sociale,Formation et sensibilisation
Canada,2018,Ransomware,Énergie,Cybercriminels,140.75,81431,172.8,Logiciels non patchés,EDR
Turquie,2018,Ransomware,Commerce,Groupe de hackers,204.59,14010,358.1,Absence de chiffrement,Sauvegarde et restauration
États-Unis,2018,Injection SQL,Finance,Hacktivistes,42.67,480151,14.1,Mauvaise configuration,IDS/IPS
Royaume-Uni,2018,Phishing,Télécommunications,Cybercriminels,15.35,5119,80.4,Mots de passe faibles,Segmentation réseau
Italie,2018,Spear Phishing,Défense,Cybercriminels,99.28,15,58.9,Vulnérabilité zero-day,Pare-feu
Italie,2018,Phishing,Technologie,Groupe de hackers,45.14,23108,23.0,Mots de passe faibles,Sauvegarde et restauration
Mexique,2018,Phishing,Éducation,Cybercriminels,13.18,57702,44.9,Vulnérabilité zero-day,Segmentation réseau
Canada,2018,Ransomware,Défense,Hacktivistes,111.60,3499,334.1,Vulnérabilité zero-day,Analyse forensique
Inde,2018,Ransomware,Gouvernement,Cybercriminels,3.77,130,105.6,Accès non autorisé,Segmentation réseau
Russie,2018,Zero-Day,Commerce,Cybercriminels,381.02,5053339,465.1,Ingénierie sociale,Authentification multifacteur
Chine,2018,Man-in-the-Middle,Commerce,Inconnu,2.39,16364,38.1,Logiciels non patchés,Sauvegarde et restauration
Singapour,2018,Ransomware,Énergie,Cybercriminels,9.38,208800,395.2,Ingénierie sociale,Segmentation réseau
Mexique,2018,DDoS,Santé,Cybercriminels,34.90,235217,99.3,Ingénierie sociale,Sauvegarde et restauration
Colombie,2018,Malware,Transport,Inconnu,99.30,9466,161.2,Ingénierie sociale,Analyse forensique
États-Unis,2018,Phishing,Santé,Groupe de hackers,43.01,375,19.0,Mots de passe faibles,Sauvegarde et restauration
Nigeria,2018,Malware,Commerce,Hacktivistes,113.25,12568,162.2,Mots de passe faibles,IDS/IPS
Pologne,2018,Phishing,Gouvernement,Groupe de hackers,3.90,100338,136.1,Mauvaise configuration,Formation et sensibilisation
Espagne,2018,Spear Phishing,Éducation,Cybercriminels,56.42,26201,44.2,API non sécurisée,Sauvegarde et restauration
États-Unis,2018,DDoS,Commerce,Groupe de hackers,26.75,18165,113.8,Absence de chiffrement,IDS/IPS
Russie,2018,Malware,Télécommunications,Groupe de hackers,113.49,30959,74.1,Absence de chiffrement,SIEM
Japon,2018,Phishing,Technologie,Cybercriminels,12.75,230284,66.4,Mauvaise configuration,SIEM
Malaisie,2018,Malware,Technologie,Groupe de hackers,31.09,4025488,120.7,Mauvaise configuration,IDS/IPS
Japon,2018,Phishing,Télécommunications,Nation-État,1.11,1722,150.8,Mots de passe faibles,Analyse forensique
France,2018,Injection SQL,Télécommunications,Hacktivistes,43.32,9250570,74.3,Ingénierie sociale,Formation et sensibilisation
Indonésie,2018,Zero-Day,Télécommunications,Cybercriminels,63.69,130972,152.0,Mauvaise configuration,Authentification multifacteur
Italie,2018,Injection SQL,Éducation,Groupe de hackers,49.37,1286,54.0,Vulnérabilité zero-day,Sauvegarde et restauration
Brésil,2018,Ransomware,Commerce,Cybercriminels,64.14,4670,550.3,API non sécurisée,Segmentation réseau
Royaume-Uni,2018,Man-in-the-Middle,Télécommunications,Nation-État,3.29,45359,101.6,Ingénierie sociale,EDR
Ukraine,2018,Malware,Finance,Hacktivistes,25.08,5874,79.5,Vulnérabilité zero-day,Analyse forensique
Allemagne,2018,Ransomware,Technologie,Inconnu,271.91,20856,246.5,Logiciels non patchés,Pare-feu
Chine,2018,Zero-Day,Télécommunications,Nation-État,258.05,11897643,383.9,Absence de chiffrement,Sauvegarde et restauration
Mexique,2018,Malware,Télécommunications,Hacktivistes,36.73,177588,46.3,API non sécurisée,SIEM
France,2018,Spear Phishing,Éducation,Groupe de hackers,4.64,367,36.3,Vulnérabilité zero-day,Chiffrement
France,2018,Phishing,Santé,Cybercriminels,36.64,125438,41.9,Accès non autorisé,Chiffrement
France,2018,Malware,Éducation,Groupe de hackers,8.29,111728,30.5,Mots de passe faibles,Analyse forensique
Italie,2018,Ransomware,Technologie,Nation-État,33.35,3563,509.9,Vulnérabilité zero-day,EDR
Corée du Sud,2018,DDoS,Santé,Insider,25.74,107941,29.9,Ingénierie sociale,IDS/IPS
Chine,2018,Spear Phishing,Gouvernement,Inconnu,73.50,25124,156.8,Accès non autorisé,Authentification multifacteur
Nigeria,2018,DDoS,Finance,Groupe de hackers,17.29,7297,131.4,Accès non autorisé,SIEM
Ukraine,2018,Malware,Commerce,Nation-État,39.66,1266,88.1,Vulnérabilité zero-day,Analyse forensique
Canada,2018,Phishing,Technologie,Cybercriminels,31.39,10826,96.0,Logiciels non patchés,Pare-feu
Chine,2018,Phishing,Transport,Cybercriminels,10.79,6548,159.6,API non sécurisée,Authentification multifacteur
Espagne,2018,Malware,Télécommunications,Inconnu,68.27,10561,92.8,Accès non autorisé,Authentification multifacteur
Iran,2018,Phishing,Finance,Cybercriminels,5.90,15355,34.8,Mauvaise configuration,EDR
Australie,2018,Malware,Santé,Hacktivistes,59.20,449249,134.8,Ingénierie sociale,IDS/IPS
Chine,2018,Spear Phishing,Technologie,Cybercriminels,137.65,32,143.2,Mots de passe faibles,Segmentation réseau
Allemagne,2018,Injection SQL,Santé,Groupe de hackers,24.02,5903,121.3,Absence de chiffrement,SIEM
Canada,2018,Malware,Éducation,Cybercriminels,54.38,2219,157.6,Logiciels non patchés,IDS/IPS
France,2018,Zero-Day,Gouvernement,Cybercriminels,355.45,1393823,127.0,Absence de chiffrement,SIEM
Canada,2018,Phishing,Défense,Nation-État,33.26,5983,157.9,Mauvaise configuration,Pare-feu
Australie,2018,Ransomware,Énergie,Inconnu,264.58,23345,107.0,Absence de chiffrement,Segmentation réseau
Nigeria,2018,Spear Phishing,Finance,Inconnu,75.29,24593,129.8,Accès non autorisé,Chiffrement
Mexique,2018,Malware,Santé,Cybercriminels,72.25,108289,74.6,Accès non autorisé,Formation et sensibilisation
Chine,2018,Zero-Day,Commerce,Insider,456.06,329064,218.3,API non sécurisée,Segmentation réseau
Canada,2018,Malware,Commerce,Inconnu,31.50,5437027,62.3,Ingénierie sociale,IDS/IPS
Singapour,2018,Phishing,Finance,Cybercriminels,12.43,2528489,149.8,Vulnérabilité zero-day,Segmentation réseau
Espagne,2018,Injection SQL,Santé,Inconnu,39.24,1875680,44.8,Vulnérabilité zero-day,Analyse forensique
Pays-Bas,2018,Spear Phishing,Transport,Groupe de hackers,133.08,13192,111.6,Mauvaise configuration,IDS/IPS
Chine,2018,DDoS,Gouvernement,Cybercriminels,33.48,1589,75.8,Ingénierie sociale,Pare-feu
Russie,2018,Ransomware,Éducation,Cybercriminels,32.27,245,452.0,API non sécurisée,Segmentation réseau
Inde,2018,Phishing,Technologie,Cybercriminels,9.41,550576,99.8,API non sécurisée,Segmentation réseau
Pologne,2018,Ransomware,Santé,Groupe de hackers,47.36,227406,380.7,Accès non autorisé,IDS/IPS
Chine,2018,Phishing,Gouvernement,Nation-État,39.43,43951,87.0,Mots de passe faibles,SIEM
Chine,2018,Spear Phishing,Technologie,Cybercriminels,52.81,31,78.6,Logiciels non patchés,Analyse forensique
États-Unis,2018,Injection SQL,Télécommunications,Groupe de hackers,26.61,14827840,153.9,Mauvaise configuration,SIEM
États-Unis,2018,Zero-Day,Technologie,Insider,439.53,4246438,124.8,Vulnérabilité zero-day,EDR
Allemagne,2018,Zero-Day,Santé,Nation-État,260.57,35494,352.1,Mauvaise configuration,Segmentation réseau
Russie,2018,Phishing,Technologie,Groupe de hackers,27.11,3061,155.0,Mauvaise configuration,Chiffrement
Ukraine,2018,Phishing,Technologie,Groupe de hackers,62.81,793,80.4,Mots de passe faibles,Chiffrement
Ukraine,2018,DDoS,Énergie,Cybercriminels,2.99,6777,48.6,Mots de passe faibles,SIEM
Corée du Sud,2018,Ransomware,Santé,Cybercriminels,99.03,114,543.2,Logiciels non patchés,Analyse forensique
Malaisie,2018,Zero-Day,Technologie,Nation-État,252.59,537425,403.0,Mots de passe faibles,IDS/IPS
Japon,2018,DDoS,Finance,Nation-État,22.62,1508,97.6,Accès non autorisé,Pare-feu
États-Unis,2018,Spear Phishing,Finance,Cybercriminels,79.32,6293,28.4,Vulnérabilité zero-day,Formation et sensibilisation
Corée du Sud,2018,DDoS,Défense,Cybercriminels,6.23,6947,105.9,Logiciels non patchés,IDS/IPS
Canada,2018,DDoS,Commerce,Hacktivistes,32.35,82998,85.7,Accès non autorisé,Authentification multifacteur
Malaisie,2018,Phishing,Commerce,Groupe de hackers,66.78,2238035,127.0,Mots de passe faibles,Chiffrement
Indonésie,2018,Man-in-the-Middle,Finance,Inconnu,34.41,214870,92.2,Ingénierie sociale,Authentification multifacteur
Colombie,2018,DDoS,Santé,Inconnu,40.01,16135,167.2,Absence de chiffrement,Analyse forensique
Italie,2018,Ransomware,Technologie,Hacktivistes,242.38,681,491.2,Vulnérabilité zero-day,Formation et sensibilisation
États-Unis,2018,Phishing,Santé,Groupe de hackers,9.74,66490,154.1,Vulnérabilité zero-day,Chiffrement
Ukraine,2018,Injection SQL,Finance,Nation-État,56.58,15244,33.9,API non sécurisée,EDR
États-Unis,2018,Man-in-the-Middle,Télécommunications,Insider,18.48,273,36.0,Logiciels non patchés,Authentification multifacteur
États-Unis,2018,DDoS,Finance,Groupe de hackers,2.15,811667,110.3,Vulnérabilité zero-day,Authentification multifacteur
Indonésie,2018,DDoS,Santé,Inconnu,37.64,17424,106.7,Mots de passe faibles,Authentification multifacteur
Pologne,2018,DDoS,Gouvernement,Groupe de hackers,21.22,2402967,49.5,Ingénierie sociale,Analyse forensique
Russie,2018,DDoS,Transport,Insider,2.34,4936986,160.5,Vulnérabilité zero-day,Pare-feu
Brésil,2018,Spear Phishing,Télécommunications,Hacktivistes,30.16,26,165.1,Accès non autorisé,Formation et sensibilisation
Japon,2018,Ransomware,Gouvernement,Groupe de hackers,97.19,500,117.9,Mots de passe faibles,Segmentation réseau
Royaume-Uni,2018,Spear Phishing,Technologie,Groupe de hackers,133.95,820,28.6,Mauvaise configuration,IDS/IPS
Corée du Sud,2018,Ransomware,Commerce,Cybercriminels,186.17,8557,93.3,API non sécurisée,Analyse forensique
Russie,2018,Ransomware,Défense,Cybercriminels,49.64,181,331.1,Absence de chiffrement,IDS/IPS
Royaume-Uni,2018,Phishing,Santé,Hacktivistes,61.94,3185,61.8,Mauvaise configuration,Sauvegarde et restauration
Japon,2018,Spear Phishing,Gouvernement,Nation-État,74.66,11251,121.5,Ingénierie sociale,SIEM
Mexique,2018,Spear Phishing,Éducation,Groupe de hackers,31.78,61999,58.8,Absence de chiffrement,IDS/IPS
États-Unis,2018,Ransomware,Santé,Insider,2.20,23688,449.5,Accès non autorisé,Segmentation réseau
Brésil,2018,DDoS,Santé,Cybercriminels,7.92,7009,105.0,Ingénierie sociale,Authentification multifacteur
Chine,2018,Spear Phishing,Finance,Inconnu,136.27,15,24.8,Absence de chiffrement,IDS/IPS
Royaume-Uni,2018,Ransomware,Finance,Groupe de hackers,167.83,1386,393.8,Mots de passe faibles,Pare-feu
Brésil,2018,DDoS,Technologie,Cybercriminels,36.68,1306966,151.1,Absence de chiffrement,Formation et sensibilisation
Italie,2018,Man-in-the-Middle,Finance,Insider,22.65,8722,101.7,Mots de passe faibles,Sauvegarde et restauration
Indonésie,2018,Ransomware,Énergie,Cybercriminels,238.47,21380,185.9,Vulnérabilité zero-day,SIEM
France,2018,Ransomware,Technologie,Groupe de hackers,288.70,401,606.1,Ingénierie sociale,Pare-feu
France,2019,Spear Phishing,Gouvernement,Nation-État,108.79,1165,26.8,Accès non autorisé,Chiffrement
États-Unis,2019,Spear Phishing,Technologie,Nation-État,13.67,13,21.7,API non sécurisée,Authentification multifacteur
Inde,2019,Man-in-the-Middle,Télécommunications,Cybercriminels,31.62,23376,88.1,API non sécurisée,Authentification multifacteur
Mexique,2019,Phishing,Éducation,Nation-État,40.58,2497525,161.5,Mots de passe faibles,Chiffrement
Mexique,2019,Malware,Commerce,Nation-État,109.82,250747,79.8,Logiciels non patchés,SIEM
Canada,2019,Spear Phishing,Finance,Groupe de hackers,3.77,2667,153.1,Vulnérabilité zero-day,Segmentation réseau
États-Unis,2019,Spear Phishing,Technologie,Nation-État,145.31,2468,28.6,Mots de passe faibles,Segmentation réseau
États-Unis,2019,Phishing,Technologie,Groupe de hackers,62.86,868353,127.0,API non sécurisée,SIEM
Royaume-Uni,2019,Phishing,Technologie,Nation-État,2.77,15806,132.0,Accès non autorisé,Segmentation réseau
Chine,2019,DDoS,Technologie,Cybercriminels,22.06,115396,15.2,Absence de chiffrement,Sauvegarde et restauration
Inde,2019,DDoS,Commerce,Cybercriminels,5.75,46382,49.8,Absence de chiffrement,Analyse forensique
Chine,2019,Injection SQL,Finance,Inconnu,7.54,14006,58.5,Logiciels non patchés,Chiffrement
Singapour,2019,DDoS,Commerce,Groupe de hackers,23.50,1244443,73.3,Accès non autorisé,Formation et sensibilisation
Iran,2019,Man-in-the-Middle,Défense,Hacktivistes,16.68,13,4.1,Logiciels non patchés,EDR
Royaume-Uni,2019,DDoS,Éducation,Hacktivistes,1.19,3152,19.0,API non sécurisée,Segmentation réseau
Brésil,2019,DDoS,Télécommunications,Hacktivistes,17.26,1112,22.6,Absence de chiffrement,Sauvegarde et restauration
Pays-Bas,2019,Phishing,Défense,Cybercriminels,27.98,1579,50.0,Accès non autorisé,SIEM
France,2019,DDoS,Technologie,Insider,15.11,3884,83.5,Accès non autorisé,Pare-feu
France,2019,DDoS,Gouvernement,Cybercriminels,14.86,410229,85.3,Logiciels non patchés,IDS/IPS
États-Unis,2019,DDoS,Santé,Cybercriminels,32.47,143516,46.6,Vulnérabilité zero-day,Chiffrement
Chine,2019,Malware,Commerce,Cybercriminels,17.95,945,156.6,Accès non autorisé,Authentification multifacteur
Royaume-Uni,2019,Ransomware,Technologie,Nation-État,170.87,77,486.3,Mots de passe faibles,Chiffrement
Nigeria,2019,Spear Phishing,Finance,Hacktivistes,158.51,420,117.5,Vulnérabilité zero-day,EDR
Russie,2019,Malware,Santé,Nation-État,33.17,260968,151.9,API non sécurisée,SIEM
Allemagne,2019,DDoS,Commerce,Cybercriminels,3.03,4385,79.0,Logiciels non patchés,Sauvegarde et restauration
Russie,2019,Man-in-the-Middle,Gouvernement,Nation-État,31.28,165,49.3,Vulnérabilité zero-day,IDS/IPS
Afrique du Sud,2019,Ransomware,Transport,Nation-État,231.80,33528,446.9,Mots de passe faibles,Formation et sensibilisation
États-Unis,2019,Phishing,Commerce,Hacktivistes,52.21,193269,65.4,Vulnérabilité zero-day,Analyse forensique
France,2019,Spear Phishing,Commerce,Insider,132.06,56,141.1,Logiciels non patchés,Pare-feu
Égypte,2019,Phishing,Télécommunications,Cybercriminels,67.58,45242,26.7,Logiciels non patchés,IDS/IPS
Pays-Bas,2019,Phishing,Gouvernement,Groupe de hackers,55.63,314522,152.4,Mots de passe faibles,Pare-feu
Allemagne,2019,DDoS,Commerce,Insider,44.36,62999,75.7,Vulnérabilité zero-day,EDR
Russie,2019,DDoS,Finance,Hacktivistes,27.90,6998,165.7,Vulnérabilité zero-day,Segmentation réseau
Chine,2019,DDoS,Commerce,Insider,2.04,247347,116.5,Ingénierie sociale,Pare-feu
France,2019,Malware,Finance,Groupe de hackers,111.80,23226,102.7,Ingénierie sociale,Analyse forensique
Inde,2019,Phishing,Technologie,Cybercriminels,32.19,6543,163.6,API non sécurisée,Formation et sensibilisation
Royaume-Uni,2019,Ransomware,Santé,Insider,118.54,163605,649.1,API non sécurisée,IDS/IPS
Pays-Bas,2019,DDoS,Finance,Hacktivistes,24.32,26379,131.4,Accès non autorisé,Formation et sensibilisation
Chine,2019,Ransomware,Commerce,Cybercriminels,292.03,130,358.6,Accès non autorisé,Formation et sensibilisation
Corée du Sud,2019,Malware,Technologie,Cybercriminels,70.08,631,77.2,Mots de passe faibles,Sauvegarde et restauration
Ukraine,2019,Ransomware,Gouvernement,Cybercriminels,22.44,473,121.8,API non sécurisée,Pare-feu
Royaume-Uni,2019,Injection SQL,Commerce,Cybercriminels,31.56,1022,36.7,Logiciels non patchés,Analyse forensique
Italie,2019,Phishing,Santé,Nation-État,73.77,1391,101.5,Mauvaise configuration,Analyse forensique
États-Unis,2019,Phishing,Santé,Insider,1.12,3456,77.8,API non sécurisée,Sauvegarde et restauration
Royaume-Uni,2019,Phishing,Finance,Inconnu,21.62,559,157.5,Mots de passe faibles,EDR
Inde,2019,Man-in-the-Middle,Énergie,Cybercriminels,11.00,12635,122.9,Absence de chiffrement,Segmentation réseau
Russie,2019,Man-in-the-Middle,Gouvernement,Nation-État,36.53,29568,9.0,API non sécurisée,Chiffrement
Russie,2019,Malware,Finance,Inconnu,98.41,28106,42.9,Accès non autorisé,Authentification multifacteur
Russie,2019,Man-in-the-Middle,Technologie,Inconnu,20.84,89335,45.8,Absence de chiffrement,SIEM
Israël,2019,Malware,Éducation,Insider,63.63,1229,15.7,Absence de chiffrement,Analyse forensique
Japon,2019,Ransomware,Transport,Cybercriminels,79.12,2933,422.0,Ingénierie sociale,Sauvegarde et restauration
France,2019,Spear Phishing,Technologie,Groupe de hackers,31.63,11004,89.7,Logiciels non patchés,IDS/IPS
Brésil,2019,Phishing,Énergie,Cybercriminels,55.42,127432,137.3,Accès non autorisé,EDR
Russie,2019,Malware,Santé,Insider,22.93,203898,160.9,API non sécurisée,IDS/IPS
Italie,2019,Spear Phishing,Technologie,Inconnu,8.63,94,85.3,Logiciels non patchés,SIEM
Colombie,2019,Ransomware,Technologie,Cybercriminels,161.57,182761,507.3,Absence de chiffrement,EDR
États-Unis,2019,Injection SQL,Gouvernement,Insider,11.38,101815,66.3,Absence de chiffrement,Formation et sensibilisation
France,2019,Zero-Day,Santé,Nation-État,191.99,203635,100.3,Logiciels non patchés,Formation et sensibilisation
France,2019,Malware,Technologie,Groupe de hackers,1.22,1860260,44.0,API non sécurisée,Sauvegarde et restauration
États-Unis,2019,Ransomware,Éducation,Inconnu,152.45,95396,26.1,Accès non autorisé,Segmentation réseau
Mexique,2019,Ransomware,Santé,Hacktivistes,291.61,51,342.7,Mauvaise configuration,Segmentation réseau
Malaisie,2019,Phishing,Commerce,Groupe de hackers,67.30,1268431,81.6,Mauvaise configuration,Authentification multifacteur
Italie,2019,Man-in-the-Middle,Transport,Cybercriminels,17.98,36,33.0,API non sécurisée,Pare-feu
Afrique du Sud,2019,Spear Phishing,Finance,Cybercriminels,117.60,36164,8.4,Logiciels non patchés,Segmentation réseau
Italie,2019,DDoS,Finance,Cybercriminels,42.19,7688,20.6,API non sécurisée,Pare-feu
Brésil,2019,Zero-Day,Transport,Groupe de hackers,31.70,87143,428.8,Absence de chiffrement,Formation et sensibilisation
France,2019,Zero-Day,Transport,Hacktivistes,527.29,65417,429.0,Absence de chiffrement,Authentification multifacteur
Australie,2019,Ransomware,Télécommunications,Groupe de hackers,155.49,320,212.1,API non sécurisée,Formation et sensibilisation
Inde,2019,DDoS,Santé,Nation-État,5.22,253949,36.2,Ingénierie sociale,Formation et sensibilisation
Allemagne,2019,Zero-Day,Gouvernement,Groupe de hackers,552.16,71992,475.2,Mots de passe faibles,Pare-feu
Italie,2019,Phishing,Santé,Insider,77.65,10355,31.4,API non sécurisée,Pare-feu
Colombie,2019,Phishing,Éducation,Inconnu,5.37,6718,45.9,Ingénierie sociale,IDS/IPS
Royaume-Uni,2019,DDoS,Transport,Cybercriminels,21.42,938718,121.2,Vulnérabilité zero-day,Pare-feu
France,2019,Ransomware,Technologie,Hacktivistes,7.57,4293,441.4,API non sécurisée,Analyse forensique
Colombie,2019,Zero-Day,Gouvernement,Cybercriminels,664.08,40012,416.1,Logiciels non patchés,Chiffrement
États-Unis,2019,Zero-Day,Finance,Groupe de hackers,52.19,168820,346.0,Mauvaise configuration,Segmentation réseau
Corée du Sud,2019,Zero-Day,Commerce,Inconnu,709.86,392830,123.5,Vulnérabilité zero-day,Chiffrement
Indonésie,2019,Phishing,Énergie,Hacktivistes,2.34,3427212,88.5,Vulnérabilité zero-day,Formation et sensibilisation
Suède,2019,Ransomware,Télécommunications,Cybercriminels,98.96,1413,29.1,Logiciels non patchés,Formation et sensibilisation
Ukraine,2019,Injection SQL,Santé,Nation-État,50.48,11138,25.9,Ingénierie sociale,Authentification multifacteur
Colombie,2019,Spear Phishing,Finance,Cybercriminels,30.66,25977,160.3,Logiciels non patchés,Sauvegarde et restauration
Turquie,2019,Malware,Finance,Cybercriminels,126.42,57087,67.4,Absence de chiffrement,Pare-feu
Canada,2019,Malware,Finance,Hacktivistes,120.92,1774,79.6,Mauvaise configuration,Pare-feu
Australie,2019,DDoS,Santé,Cybercriminels,44.74,9405,95.3,Ingénierie sociale,Chiffrement
